track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams(10 million),in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
When I Was Your Man,Bruno Mars,1,2012,12,5,166.1187319,2420,11,0,0,806,0,0,145,,Major,60,43,27,94,0,14,4
Let Me Down Slowly,Alec Benjamin,1,2018,5,25,137.4581173,5897,19,0,0,885,0,0,150,C#,Minor,65,51,55,73,0,14,3
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,9.4186466,727,16,17,60,28,1,44,90,A,Minor,60,13,53,4,0,21,4
Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,178.8326445,33783,26,133,92,"2,733",1,26,85,F,Major,55,42,53,17,0,22,3
Demons,Imagine Dragons,1,2012,1,1,184.0364617,26694,13,65,82,"3,425",4,13,180,D#,Major,33,38,71,20,0,28,5
ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,14.3573775,356,16,35,102,8,1,117,166,C#,Major,57,84,94,11,0,37,9
Reminder,The Weeknd,1,2016,11,25,68.4675814,6518,17,45,85,238,1,47,160,G#,Major,71,40,50,16,0,16,22
Shake It Off,Taylor Swift,1,2014,1,1,111.3838873,21335,13,328,70,"1,378",9,20,160,G,Major,65,95,80,5,0,41,16
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,126.733335,23389,29,54,70,"1,089",2,1,92,D,Major,70,81,63,4,0,8,4
SNAP,Rosa Linn,1,2022,3,19,72.6307468,3202,18,148,80,226,24,0,170,,Major,56,53,64,11,0,45,6
Shape of You,Ed Sheeran,1,2017,1,6,356.254389,32181,10,33,0,"6,808",7,0,96,C#,Minor,83,93,65,58,0,9,8
Night Changes,One Direction,1,2014,11,17,113.109094,7124,18,60,20,2,0,,120,G#,Major,67,40,52,86,0,12,4
Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,13,30.7370144,592,14,11,84,6,1,30,98,,Major,70,37,54,6,0,9,8
Creep,Radiohead,1,1992,9,21,127.1293243,36724,7,146,72,"6,807",5,80,92,G,Major,53,12,34,1,0,12,4
Car's Outside,James Arthur,1,2019,10,18,26.5882712,794,10,38,25,61,0,263,150,A,Major,34,24,56,4,0,11,3
Apocalypse,Cigarettes After Sex,1,2017,3,21,84.1749534,13091,17,61,96,790,2,116,94,F,Major,37,17,47,2,46,11,3
Cheques,Shubh,1,2023,5,19,4.7956378,67,8,7,10,0,0,57,90,E,Minor,74,36,63,26,0,27,5
Pink + White,Frank Ocean,1,2016,8,20,80.639707,21574,30,112,68,266,1,39,160,A,Major,54,54,55,67,0,42,11
Circles,Post Malone,1,2019,8,30,213.2335812,19664,16,391,73,633,3,37,120,,Major,70,59,75,24,0,9,4
Just The Way You Are,Bruno Mars,1,2010,1,1,164.1426668,21106,13,82,0,"2,946",0,0,109,F,Major,63,46,85,1,0,9,5
Take Me To Church,Hozier,1,2013,9,13,213.5158446,23804,31,187,99,"4,623",1,0,129,E,Minor,57,41,66,63,0,12,5
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,36.7316268,849,22,27,129,21,7,111,157,G,Major,54,75,60,30,0,7,5
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2021,4,9,35.0381515,2619,12,47,90,1,0,7,130,F#,Major,63,49,73,5,0,9,3
Titi Me Preguntï¿,Bad Bunny,1,2022,5,6,126.4310836,9037,42,124,133,139,14,166,107,F,Minor,65,19,72,10,0,13,25
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,3.0343206,86,11,3,33,3,0,1,146,B,Minor,50,67,89,0,0,19,8
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,40.5136812,1788,14,1,50,19,0,19,139,A,Minor,48,37,41,32,0,10,10
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,7,1,114.5727611,15890,14,71,37,653,0,167,116,,Major,74,76,70,7,0,13,3
Es un Secreto,Plan B,1,2010,7,20,54.0654286,492,36,4,3,19,0,0,95,F#,Minor,84,52,77,12,0,7,4
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,5.7312735,773,33,20,46,21,8,99,170,G#,Minor,62,55,80,15,0,37,7
Ditto,NewJeans,1,2022,12,19,39.7582059,1154,22,28,125,11,1,51,134,F#,Minor,81,18,64,3,0,10,11
Take On Me,a-ha,1,1984,10,19,147.9115056,44927,17,34,0,"5,108",6,0,84,F#,Minor,57,86,90,2,0,9,5
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,8.6773632,551,4,13,46,20,1,10,146,B,Minor,61,20,48,21,0,12,6
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,13.3753727,577,14,22,18,15,1,0,74,A#,Minor,53,24,67,11,0,10,28
Acrï¿½ï¿½s,Shakira,1,2023,5,11,12.3124076,955,29,37,50,79,11,31,144,B,Major,75,35,48,84,0,10,12
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,46.3564958,995,19,12,117,9,5,3,136,B,Minor,77,79,73,15,0,27,10
Phir Aur Kya Chahiye (From "Zara Hatke Zara Bachke"),"Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,6.453304,178,6,6,71,1,0,31,100,E,Major,56,53,55,53,0,12,4
S-Class,Stray Kids,1,2023,6,2,6.5496046,290,19,9,101,5,0,73,105,F,Minor,89,67,78,9,0,7,33
Hits Different,Taylor Swift,1,2023,5,26,6.8616963,547,0,15,15,6,0,0,106,F,Major,67,24,78,15,0,30,4
Chanel,"Becky G, Peso Pluma",2,2023,3,30,16.146099,681,10,15,92,21,2,26,132,D,Major,85,53,68,40,0,9,4
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,7.0106975,332,5,18,41,5,0,19,120,A,Major,78,5,30,21,0,13,5
Area Codes,"Kaliii, Kaliii",2,2023,3,17,11.3509496,1197,13,44,34,25,1,171,155,C#,Major,82,51,39,2,0,9,49
Abcdario,"Junior H, Eden Muï¿½ï",2,2023,5,13,8.9933133,262,5,8,60,4,1,109,129,G#,Major,70,42,43,78,0,11,3
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,7.1007139,161,6,10,79,2,0,42,135,F,Minor,80,85,74,62,0,8,9
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2,2023,6,2,4.3522589,185,3,5,6,4,1,33,98,A#,Minor,73,45,62,28,0,13,13
FLOWER,JISOO,1,2023,3,31,23.2896922,839,18,20,110,20,0,69,124,A,Minor,84,64,39,3,0,11,4
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,3.7126685,259,0,5,17,5,0,0,135,A,Minor,77,28,55,18,0,22,15
Eyes Closed,Ed Sheeran,1,2023,3,23,19.5576623,2915,30,116,69,107,3,675,107,D,Major,78,39,53,30,0,11,6
Escapism.,"RAYE, 070 Shake",2,2022,10,12,53.2336353,5129,25,116,84,114,18,348,96,D,Major,54,25,74,14,0,9,11
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,53.8115192,3794,34,47,77,53,10,8,123,G#,Major,71,58,70,30,0,32,19
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,4.6142772,588,0,23,21,31,0,0,90,G#,Major,62,7,62,6,0,58,6
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,40.1036314,2959,16,41,69,38,0,36,117,F,Minor,72,45,59,14,0,20,21
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,12.7026613,291,8,8,78,4,1,1,133,A,Minor,78,90,84,31,0,7,4
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,34.503171,2321,36,29,65,34,5,3,96,G#,Minor,74,61,83,11,0,35,6
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,28.8101651,536,10,10,72,8,3,14,149,G#,Major,66,85,60,40,0,14,13
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,6.0350538,359,2,1,0,9,0,0,110,F#,Minor,66,32,40,81,0,11,3
Players,Coi Leray,1,2022,11,30,33.5074782,4096,6,118,48,143,0,240,105,F#,Major,95,62,52,3,0,5,16
Bite Me,ENHYPEN,1,2023,5,22,7.6767396,349,69,8,96,5,0,56,105,C#,Major,80,69,78,28,0,11,14
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,4.6065667,381,5,23,82,6,0,113,134,B,Major,76,61,58,6,0,16,3
Normal,Feid,1,2022,7,8,45.9276435,2461,36,47,66,45,5,6,170,E,Minor,71,59,56,4,0,27,12
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,3.9666245,277,1,1,20,5,0,1,81,F#,Major,59,26,60,46,1,25,13
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,13.8517666,967,5,7,29,51,1,29,154,F#,Major,63,75,92,31,0,91,5
Bad Habit,Steve Lacy,1,2022,6,29,82.2633917,8186,12,155,72,131,16,29,169,C#,Major,69,69,51,63,0,38,4
CUFF IT,Beyoncï¿,1,2022,7,29,59.5900742,7842,10,215,88,330,26,23,115,G,Major,78,64,69,4,0,7,14
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,5.1985779,215,6,6,14,8,2,4,84,A,Minor,43,14,74,1,0,19,8
69,"Nicky Jam, Feid",2,2023,5,18,5.7945987,1134,22,39,14,48,2,3,93,G#,Major,79,58,62,11,0,11,23
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,2023,4,21,11.501004,1305,34,29,26,43,5,44,91,G,Major,82,47,62,10,0,10,15
Search & Rescue,Drake,1,2023,4,7,17.5097833,2066,6,58,70,43,0,182,142,A#,Minor,82,54,44,6,0,33,7
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,19,5.7089066,896,0,34,2,33,0,1,126,C#,Major,78,20,70,1,0,16,4
Lavender Haze,Taylor Swift,1,2022,10,21,48.8386797,3763,8,51,43,38,10,1,97,A#,Major,73,10,44,26,0,16,8
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,3.2761689,197,0,3,10,3,0,0,101,F,Major,92,59,51,41,51,26,8
Efecto,Bad Bunny,1,2022,5,6,104.7480053,4004,33,34,65,43,6,2,98,G,Minor,80,23,48,14,0,6,5
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,15.3454328,984,5,8,57,76,2,49,154,F#,Major,59,63,89,18,0,80,9
Cupido,Tini,1,2023,2,14,21.7672943,1240,24,51,29,63,4,54,120,A,Major,91,63,58,52,0,31,22
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,45.7184829,3995,13,72,27,47,0,0,150,B,Major,49,4,55,7,0,6,3
Unstoppable,Sia,1,2016,1,21,93.9844851,7681,13,119,66,"1,145",2,,174,A,Major,47,27,78,11,0,10,8
Until I Found You,Stephen Sanchez,1,2021,9,1,72.6434358,4427,4,69,100,154,20,438,202,A#,Major,34,25,51,69,0,18,4
Rich Flex,"Drake, 21 Savage",2,2022,11,4,57.363302,4657,18,84,84,42,0,23,153,B,Minor,56,42,52,5,0,36,24
Easy On Me,Adele,1,2021,10,14,140.6111294,10195,20,258,87,657,22,9,142,F,Major,60,13,37,58,0,13,3
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,11,7.1573339,269,4,7,2,30,1,11,108,A,Minor,84,55,47,26,0,20,64
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,2.4975653,214,0,3,3,6,0,0,143,B,Major,83,25,69,4,0,23,12
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14,14.5458418,845,2,12,57,47,1,33,108,D,Major,67,55,67,60,0,80,5
The Real Slim Shady,Eminem,1,2000,1,1,142.4589568,20763,27,81,53,"3,271",1,17,104,F,Minor,95,78,66,3,0,4,6
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,23.1332117,1267,20,41,22,56,4,84,93,F#,Minor,84,96,79,43,0,18,11
The Color Violet,Tory Lanez,1,2021,12,10,41.5932686,2585,32,3,79,21,1,54,105,F#,Minor,65,46,53,16,0,9,5
Glimpse of Us,Joji,1,2022,6,10,98.8515741,6330,6,109,42,158,3,31,170,G#,Major,44,27,32,89,0,14,5
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,5.0847624,675,1,9,13,11,0,1,178,C#,Minor,62,56,66,18,0,12,5
Curtains,Ed Sheeran,1,2023,5,5,3.9893489,715,0,37,3,27,0,50,176,F#,Minor,50,44,76,10,0,32,5
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,9.2035115,327,13,14,110,9,0,49,104,E,Minor,80,38,88,11,0,11,5
Haegeum,Agust D,1,2023,4,21,11.8810253,244,12,6,84,10,2,9,85,G,Major,70,83,84,31,0,47,30
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,30,7.7233241,385,4,17,7,41,1,29,117,F#,Minor,77,69,58,39,0,26,5
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,20.6399629,1020,35,15,26,30,6,0,80,,Major,52,57,48,86,0,15,39
Never Felt So Alone,Labrinth,1,2023,4,7,11.7747907,1730,3,46,5,51,0,20,98,F,Major,44,36,41,50,0,38,5
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,26.6624541,2127,33,45,80,53,8,4,178,C#,Minor,79,58,78,34,0,11,25
ceilings,Lizzy McAlpine,1,2022,4,8,29.3186992,3242,9,67,55,48,0,6,148,A,Major,51,27,33,48,0,22,3
Cupid,Fifty Fifty,1,2023,2,24,13.9681964,526,10,15,93,30,0,320,120,D,Major,77,94,66,65,0,38,3
I AM,IVE,1,2023,4,10,12.3132751,366,15,16,102,7,0,55,122,E,Minor,68,38,88,1,0,8,5
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1,1997,1,1,10.3762518,472,2,0,0,6,0,0,144,F,Major,74,75,73,42,0,9,4
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,16.2887075,432,12,8,14,12,2,33,96,D,Major,93,47,47,33,0,10,36
Super,SEVENTEEN,1,2023,4,24,9.1221625,271,12,16,103,9,0,55,137,G#,Major,77,35,88,16,0,17,9
Slut Me Out,NLE Choppa,1,2022,4,22,19.0490915,816,4,21,4,13,0,4,121,F#,Minor,94,71,61,12,0,53,42
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,9.6180277,1169,0,36,65,28,0,0,119,A,Minor,60,10,57,1,0,50,3
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,18.5240616,1282,6,26,6,19,0,5,96,D,Major,72,40,47,71,0,13,4
PROVENZA,Karol G,1,2022,4,21,88.5093467,6587,34,114,104,147,11,20,111,C#,Major,87,53,52,66,1,11,5
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,10.4992946,1444,4,0,0,0,0,0,148,A,Major,90,74,68,14,0,10,19
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,14.7290338,356,10,4,64,4,2,37,182,A,Major,57,80,59,8,0,6,5
Shivers,Ed Sheeran,1,2021,9,9,130.2184087,10147,30,234,71,543,18,,141,D,Major,79,82,86,28,0,4,9
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,15.8950978,265,6,8,84,5,1,4,145,E,Minor,76,80,81,19,0,6,9
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,7.6910644,351,9,16,90,10,0,64,110,B,Minor,76,26,70,1,0,41,6
Komang,Raim Laode,1,2022,8,16,13.712388,158,4,5,6,1,1,18,134,G,Major,70,35,41,41,0,10,3
DESPECHï¿,ROSALï¿½,1,2022,7,28,78.2369383,7613,33,180,90,422,15,55,130,G,Major,92,78,62,18,0,6,10
Made You Look,Meghan Trainor,1,2022,10,21,50.2574952,3956,6,142,23,127,3,16,145,A#,Major,84,88,53,35,0,8,7
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,20.7033255,1638,10,0,0,21,0,0,130,B,Minor,69,36,90,1,10,15,4
No Se Va,Grupo Frontera,1,2022,4,28,40.4887295,924,18,17,80,22,9,38,173,,Major,59,69,53,12,0,23,3
Punto G,Quevedo,1,2022,11,4,38.1161027,1985,35,34,26,37,5,1,92,B,Minor,75,55,76,25,0,10,15
Lovers Rock,TV Girl,1,2014,6,5,46.6231982,6339,13,3,1,36,1,37,105,F,Minor,56,57,87,0,1,10,4
METAMORPHOSIS,INTERWORLD,1,2021,11,25,35.7580552,1561,24,18,78,24,0,30,175,G,Minor,59,15,64,43,90,12,10
Mami Chula,"Quevedo, Jhayco",2,2023,4,27,6.1105704,875,4,17,13,27,0,43,120,G,Minor,80,33,70,22,0,9,4
En Paris,"El Chachito, Junior H",2,2022,12,24,19.8275403,406,5,3,31,2,1,0,139,D#,Minor,70,77,48,37,0,12,5
Set Me Free Pt.2,Jimin,1,2023,3,17,16.8448603,340,13,4,71,16,1,9,132,,Minor,59,56,82,12,0,12,6
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,70.5469769,4188,15,30,70,142,0,27,114,A#,Major,32,17,74,14,0,17,3
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,3.4502215,105,0,5,9,5,0,0,145,B,Minor,54,19,48,36,0,37,5
Shut Down,BLACKPINK,1,2022,9,16,48.217524,1524,17,53,120,62,0,2,110,,Major,82,67,69,0,0,18,4
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,30.41186,2651,30,21,55,32,3,0,94,G#,Major,89,61,66,17,0,36,16
Call Out My Name,The Weeknd,1,2018,3,29,144.9799467,11087,6,151,107,801,1,105,134,C#,Major,45,17,60,21,0,33,4
Like Crazy (English Version),Jimin,1,2023,3,24,17.3627354,373,19,4,72,5,0,5,120,G,Major,62,32,76,0,0,39,4
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2,9.0025258,200,4,8,77,2,1,1,123,G,Minor,70,86,68,24,0,11,4
Sunroof,"Nicky Youre, Dazy",2,2021,12,3,65.2704649,3741,17,156,35,110,19,0,131,A#,Major,77,84,71,35,0,15,4
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,182.9992958,32502,21,247,54,"5,567",1,51,171,D,Major,70,6,73,1,0,36,26
Superman,"Eminem, Dina Rae",2,2002,5,26,65.5466831,7615,14,18,51,"1,005",0,0,130,E,Minor,80,64,76,2,0,20,6
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,14.6409671,1208,34,10,41,20,0,1,94,B,Major,82,53,67,34,0,9,8
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,9.5816024,209,4,4,45,11,2,24,89,G,Minor,73,44,57,39,0,32,6
REMIX EXCLUSIVO,Feid,1,2023,3,17,11.7206995,1235,9,20,8,15,0,6,87,F,Minor,65,71,56,4,0,15,20
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,10.0409613,654,3,11,3,18,1,1,124,B,Minor,72,79,78,55,0,15,30
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,8.075835,1479,0,23,0,18,0,33,78,G#,Major,71,80,65,51,0,22,32
10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1,32.5592432,4942,26,190,104,147,18,63,120,G#,Major,70,70,79,7,0,18,10
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,5.8473276,709,0,8,1,13,0,0,96,F#,Minor,48,50,80,40,0,37,20
HAPPY,NF,1,2023,3,25,5.2722996,660,0,22,7,11,0,78,106,G,Major,73,22,86,31,0,12,4
La Bebe,Yng Lvcas,1,2021,12,24,19.1945597,489,17,4,11,5,1,2,170,D,Minor,78,75,46,62,0,12,35
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,7.7377503,407,0,16,15,5,0,1,134,B,Minor,67,11,76,8,47,30,7
Late Night Talking,Harry Styles,1,2022,5,20,74.3693613,7461,8,166,42,199,16,58,115,A#,Major,71,90,73,30,0,11,5
Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,12,9,26.7789608,993,4,30,84,88,1,28,130,F#,Major,74,79,87,45,0,30,3
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,3,20,122.1813483,9161,5,240,98,468,3,10,118,,Major,65,63,79,3,0,10,3
Something in the Orange,Zach Bryan,1,2022,4,22,44.9701773,3282,12,67,84,46,16,117,110,G,Major,59,22,38,42,0,12,3
VOID,Melanie Martinez,1,2023,3,29,6.707041,596,0,29,9,12,0,52,100,A,Major,72,42,66,18,4,19,4
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,11.6334601,320,6,5,48,2,1,9,142,G,Minor,70,76,79,26,0,11,7
Midnight Rain,Taylor Swift,1,2022,10,21,43.3356509,2612,4,19,29,21,0,0,140,,Major,64,18,37,72,0,12,7
If We Ever Broke Up,Mae Stephens,1,2023,2,10,16.5584767,2040,4,81,27,66,9,444,116,G,Major,90,96,73,62,0,9,4
You Proof,Morgan Wallen,1,2022,5,13,36.7814306,2128,9,37,88,9,0,14,120,A,Major,73,64,85,25,0,61,3
LA INOCENTE,"Feid, Mora",2,2022,4,1,47.7033549,2598,37,28,57,43,8,85,92,F,Minor,76,46,79,31,0,7,6
Malas Decisiones,Kenia OS,1,2022,10,26,15.62147,542,2,23,2,21,0,0,110,G#,Minor,81,64,79,5,0,31,3
Murder In My Mind,Kordhell,1,2022,1,21,44.8843705,2459,20,20,68,50,0,22,120,A#,Major,71,57,97,1,0,13,11
Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11,135.7608774,10624,17,21,0,386,0,,80,G#,Major,63,40,61,9,0,56,6
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,29.4352144,2418,26,52,66,55,1,16,115,F,Minor,95,43,69,47,0,9,31
I Love You So,The Walters,1,2014,11,28,97.2164968,7536,7,44,19,135,0,6,76,A#,Major,58,46,67,65,0,13,4
Dark Red,Steve Lacy,1,2017,2,20,92.0045682,10431,7,71,53,181,0,10,172,F#,Major,60,77,78,45,0,12,6
Say You Won't Let Go,James Arthur,1,2016,9,9,242.0461338,15722,16,231,37,"1,509",0,13,99,A#,Major,40,45,56,69,0,9,5
The Hills,The Weeknd,1,2015,5,27,194.7371785,25744,4,122,94,"1,992",0,18,136,,Minor,36,12,57,9,0,14,8
Heart To Heart,Mac DeMarco,1,2019,5,10,24.4658767,1640,0,27,27,29,1,1,150,G#,Minor,90,64,14,67,35,11,10
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,6.8216992,34,0,0,0,0,0,0,92,A#,Minor,71,41,31,79,0,10,5
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,22.3582566,1845,16,20,8,30,2,0,95,C#,Major,77,72,87,17,0,7,5
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,47.1819764,3301,30,72,64,64,6,3,102,B,Minor,83,58,83,21,0,10,5
Low,SZA,1,2022,12,9,27.2377463,1911,0,23,71,14,0,9,145,,Minor,70,34,55,43,0,16,6
Numb,Linkin Park,1,2003,3,24,136.1425037,20111,5,39,0,"7,341",0,0,110,A,Major,50,24,86,0,0,64,4
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24,14.9778242,1529,0,32,18,39,2,0,95,,Major,64,30,77,46,0,38,6
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,11.659979,615,2,22,82,8,0,9,94,B,Minor,68,81,82,53,0,9,13
One Thing At A Time,Morgan Wallen,1,2022,12,2,14.8469433,811,4,11,58,5,0,21,142,G,Major,61,92,91,0,0,26,3
Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,49.7225336,5730,10,108,16,197,3,165,145,F#,Minor,59,20,74,1,0,15,5
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,1,2023,3,3,8.8791109,356,4,4,20,0,0,0,121,F#,Minor,64,67,80,0,0,36,3
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,1,2023,3,3,12.591728,604,6,22,101,0,0,66,140,D#,Minor,66,43,76,49,0,12,3
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23,10.5062254,1190,0,29,3,18,0,19,137,C#,Minor,84,44,67,8,0,11,6
Everything I Love,Morgan Wallen,1,2023,1,31,9.5623148,579,0,11,54,0,0,103,104,G#,Major,56,72,85,0,0,15,3
Heaven,Niall Horan,1,2023,2,17,14.45848,1553,2,61,6,48,0,150,92,F,Major,57,68,76,7,0,33,3
LET GO,Central Cee,1,2022,12,15,29.8063749,2301,20,49,23,110,0,8,146,D,Minor,74,51,45,86,0,21,38
Sial,Mahalini,1,2023,1,23,16.6570053,134,4,4,6,0,0,23,120,D,Major,56,20,43,89,0,12,4
I Wrote The Book,Morgan Wallen,1,2023,1,31,8.3021468,430,0,15,17,0,0,0,144,D,Major,68,83,81,9,0,8,4
Apna Bana Le (From "Bhediya"),"Arijit Singh, Sachin-Jigar",2,2022,11,5,13.9836056,86,0,11,101,0,0,48,94,A,Major,59,44,56,80,0,6,3
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,30.3216294,629,14,32,3,9,0,0,94,G#,Major,73,65,79,5,2,11,6
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2,2022,12,15,22.1409663,1701,15,30,15,34,2,47,113,G,Minor,79,66,74,8,0,11,5
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3,5.8890931,329,0,14,35,1,0,0,148,E,Major,50,49,76,12,0,12,3
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,8.1419389,1168,0,45,11,20,0,21,98,C#,Major,70,29,73,12,0,11,26
Kahani Suno 2.0,Kaifi Khalil,1,2022,5,31,15.6777415,162,6,1,10,1,0,1,140,B,Major,58,26,38,91,0,10,4
Nobody Gets Me,SZA,1,2022,12,9,28.4908316,2536,6,59,100,58,13,2,100,G,Major,36,28,28,81,0,18,3
PERO Tï¿,"Karol G, Quevedo",2,2023,2,23,9.343891,387,11,11,15,14,3,1,140,F#,Major,86,68,79,39,0,11,29
Hype Boy,NewJeans,1,2022,8,1,36.3472647,892,17,20,119,12,2,7,100,E,Minor,59,78,94,27,0,29,23
Bloody Mary,Lady Gaga,1,2011,1,1,37.2476382,3909,0,66,26,277,3,734,100,A,Minor,59,49,65,2,0,13,3
